,אזור המכירה:,בעלות נוכחית,זיהום מירבי,טסט עד,יד,מוכן להחלפה,מותאם לנכים,מחיר,סוג,סוג מנוע,סמ״ק,צבע,קילומטראז',שנה,תאריך עליה לכביש,תיבת הילוכים,בעלות קודמת,שם הסוכנות:
116,ירושלים,פרטית,15,11/2022,2,לא,לא,"70,000 ₪",קיה ספורטז',בנזין,1998,לבן פנינה,"155,000",2015,,אוטומט,פרטית,
117,רחובות,פרטית,15,,2,לא,לא,"340,000 ₪",ג'יפ / Jeep רנגלר ארוך,בנזין,1995,סגול חציל,"59,000",2019,01/2019,אוטומט,פרטית,
118,ראשון לציון,פרטית,12,11/2022,1,לא,לא,"63,000 ₪",סקודה ייטי / Yeti,בנזין,1197,שחור,"150,000",2017,11/2017,אוטומט,,
119,באר יעקב,פרטית,15,09/2022,1,לא,לא,"92,000 ₪",קיה ספורטז',בנזין,1591,לבן מטאלי,"90,000",2016,09/2016,אוטומט,,
120,רמלה,פרטית,15,08/2022,3,לא,לא,"140,000 ₪",טויוטה לנד קרוזר ארוך,דיזל,2982,אפור,"243,000",2007,,אוטומט,פרטית,
121,פתח תקווה,פרטית,15,01/2023,1,לא,לא,"153,000 ₪",קיה סורנטו,בנזין,2359,לבן פנינה,"79,000",2018,01/2018,אוטומט,,
122,רהט,פרטית,15,11/2022,3,לא,לא,לא צוין מחיר,טויוטה לנד קרוזר ארוך,דיזל,2982,שחור,"320,000",2011,,אוטומט,פרטית,
123,"כפר חב""ד",פרטית,15,09/2022,2,לא,לא,"152,000 ₪",אינפיניטי QX60,בנזין,3498,לבן פנינה,"99,000",2016,09/2016,אוטומט,פרטית,
124,שילת,פרטית,15,05/2022,2,לא,לא,"210,000 ₪",לנד רובר ריינג' רובר,דיזל,4367,שחור,"280,000",2012,05/2012,אוטומט,פרטית,
125,פרדס חנה כרכור,פרטית,4,01/2023,1,לא,לא,"157,000 ₪",טויוטה RAV4 הייבריד,בנזין,2494,לבן,"42,000",2018,01/2018,אוטומט,,
126,תל אביב יפו,פרטית,NaN,,0,כן,לא,"369,000 ₪",טויוטה סיינה הייבריד,בנזין,2500,אפור,,2021,,אוטומט,,ירין מוטורס
127,רעננה,פרטית,2,04/2022,2,לא,לא,לא צוין מחיר,ב.מ.וו סדרה 7,היברידי חשמל / בנזין,1998,אפור מטאלי,"70,000",2019,03/2019,אוטומט,ייבוא מקביל,טופ טרייד
128,ראשון לציון,פרטית,15,10/2022,2,כן,לא,לא צוין מחיר,רנו קנגו החדשה,בנזין,1197,לבן,"94,000",2017,10/2017,אוטומט,ליסינג,קדושים יגאל
129,רעננה,פרטית,9,05/2022,1,לא,לא,לא צוין מחיר,קיה פיקנטו,בנזין,1248,כסוף,"25,000",2017,05/2017,אוטומט,,טופ טרייד
130,תל אביב יפו,פרטית,2,,0,לא,לא,לא צוין מחיר,ב.מ.וו סדרה 5,היברידי חשמל / בנזין,2998,אפור מטאלי,,2022,01/2022,אוטומט,,עלית מוטורס ישראל בעמ
131,ראשון לציון,פרטית,7,01/2023,1,כן,לא,"69,900 ₪",טויוטה יאריס,בנזין,1329,לבן,"94,358",2016,01/2016,אוטומט,,טרייד מוביל
132,תל אביב יפו,פרטית,14,01/2023,1,לא,לא,"136,000 ₪",יונדאי טוסון,בנזין,1999,אפור מטאלי,"46,000",2019,01/2019,אוטומט,,יקיר מוטורס
133,רעננה,פרטית,12,01/2023,1,לא,לא,לא צוין מחיר,מאזדה 3,בנזין,1496,כסוף,"21,000",2019,01/2019,אוטומט,,טופ טרייד
134,אשקלון,פרטית,15,11/2022,2,כן,לא,"115,000 ₪",טויוטה היילקס ויגו 4X4,דיזל,2494,לבן,"260,000",2011,11/2011,ידנית,פרטית,סאל קאר בעמ
135,חדרה,ליסינג,7,01/2023,1,לא,לא,"92,000 ₪",רנו מגאן אסטייט/ גראנד טור,דיזל,1461,אפור מטאלי,"92,900",2019,01/2019,אוטומט,,אופרייט
