,סוג,שנה,יד,סמ״ק,מחיר,קילומטראז',סוג מנוע,תיבת הילוכים,צבע,תאריך עליה לכביש,טסט עד,בעלות נוכחית,בעלות קודמת,מוכן להחלפה,מותאם לנכים,זיהום מירבי,אזור המכירה:,שם הסוכנות:
139,יונדאי אלנטרה (2016 ואילך),2018,1,1591,"75,000 ₪","126,000",בנזין,אוטומט,אפור,06/2018,06/2022,פרטית,,לא,לא,11,באר שבע,
140,רנו לוגאן MCV,2009,3,1598,"12,000 ₪","200,000",בנזין,אוטומט,לבן,01/2009,01/2023,פרטית,פרטית,לא,לא,15,נתיבות,
141,ניסאן ג'וק / Juke,2011,1,1598,"28,500 ₪","280,000",בנזין,ידנית,אפור מטאלי,12/2011,12/2022,פרטית,,כן,לא,13,אום אל פחם,
142,קיה סיד / CEED,2016,2,1591,"38,000 ₪","165,000",בנזין,אוטומט,לבן,06/2016,06/2022,פרטית,השכרה,כן,כן,13,גבעת ברנר,
143,אם. ג'י. / MG MG3,2015,5,1498,"22,500 ₪","72,000",בנזין,ידנית,תכלת,04/2015,08/2022,פרטית,פרטית,לא,לא,13,ירושלים,
144,קיה ספורטז',2015,1,1998,"84,900 ₪","108,000",בנזין,אוטומט,לבן פנינה,11/2015,11/2022,פרטית,,לא,לא,15,ראשון לציון,
145,יונדאי i20,2012,1,1396,"28,000 ₪","156,000",בנזין,אוטומט,כחול כהה מטאלי,07/2012,07/2022,פרטית,,לא,לא,13,אלפי מנשה,
146,מרצדס E-Class,2017,2,1991,לא צוין מחיר,"70,000",היברידי חשמל / בנזין,אוטומט,שחור מטאלי,05/2017,05/2022,פרטית,פרטית,לא,לא,2,ג'דידה מכר,
147,סיאט לאון,2017,2,1197,"50,000 ₪","118,000",בנזין,אוטומט,לבן,02/2017,02/2022,פרטית,ליסינג,לא,לא,12,בית שמש,
148,רנו סניק דור 3 (2009-2014),2011,3,1997,"14,900 ₪","166,000",בנזין,אוטומט,שחור מטאלי,11/2011,,פרטית,פרטית,כן,לא,15,יבנה,
149,סוזוקי בלנו,2002,3,1590,"6,500 ₪","230,000",בנזין,אוטומט,בורדו,04/2002,05/2022,פרטית,פרטית,לא,לא,NaN,ביתר עילית,
150,הונדה סיוויק (עד 2006),2002,2,1590,"5,000 ₪","345,000",בנזין,אוטומט,ברונזה,,,פרטית,פרטית,לא,לא,NaN,אשקלון,
