,Unnamed: 0,Area,Owner,AirPol,Hand,Trade,Handicap,Handicap#,Engine,Volume,Engine#,Color,Color#,Km,Year,Gear,Gear#,Price,Maker,Model,Area#,location,point,latitude,longitude,altitude
75,3354,תל אביב יפו,פרטית,2.0,1,כן,לא,1,היברידי,1498.0,3,שחור,46,5500.0,2021.0,אוטומט,1,400000.0,לנד רובר, ריינג' רובר איווק,394,"תל אביב-יפו, נפת תל אביב, מחוז תל אביב, ישראל","(32.0852997, 34.7818064, 0.0)",32.0852997,34.7818064,0.0
76,991,תל אביב יפו,פרטית,2.0,2,כן,לא,1,היברידי,1395.0,3,שחור,46,61000.0,2018.0,אוטומט,1,151900.0,אאודי,A3,394,"תל אביב-יפו, נפת תל אביב, מחוז תל אביב, ישראל","(32.0852997, 34.7818064, 0.0)",32.0852997,34.7818064,0.0
77,698,תל אביב יפו,פרטית,15.0,1,לא,לא,1,דיזל,2987.0,1,שחור,46,110000.0,2006.0,אוטומט,1,85000.0,מרצדס,ML Class,321,"תל אביב-יפו, נפת תל אביב, מחוז תל אביב, ישראל","(32.0852997, 34.7818064, 0.0)",32.0852997,34.7818064,0.0
78,99,תל אביב יפו,פרטית,14.0,1,כן,לא,1,בנזין,1991.0,0,שחור,46,16869.0,2021.0,אוטומט,1,474900.0,מרצדס,E-Class קופה / קבריולט,394,"תל אביב-יפו, נפת תל אביב, מחוז תל אביב, ישראל","(32.0852997, 34.7818064, 0.0)",32.0852997,34.7818064,0.0
79,2624,תל אביב יפו,פרטית,15.0,0,לא,לא,1,בנזין,1998.0,0,שחור,46,,2021.0,אוטומט,1,389000.0,טויוטה,סופרה,394,"תל אביב-יפו, נפת תל אביב, מחוז תל אביב, ישראל","(32.0852997, 34.7818064, 0.0)",32.0852997,34.7818064,0.0
80,2101,תל אביב יפו,פרטית,15.0,4,לא,לא,1,בנזין,4663.0,0,שחור,46,163000.0,2011.0,אוטומט,1,184000.0,מרצדס,CLS,394,"תל אביב-יפו, נפת תל אביב, מחוז תל אביב, ישראל","(32.0852997, 34.7818064, 0.0)",32.0852997,34.7818064,0.0
81,3541,תל אביב יפו,פרטית,14.0,4,לא,לא,1,בנזין,4663.0,0,שחור,46,163000.0,2011.0,אוטומט,1,184000.0,מרצדס,CLS,394,"תל אביב-יפו, נפת תל אביב, מחוז תל אביב, ישראל","(32.0852997, 34.7818064, 0.0)",32.0852997,34.7818064,0.0
82,1940,תל אביב יפו,פרטית,14.0,1,לא,לא,1,בנזין,1499.0,0,שחור,46,6000.0,2021.0,אוטומט,1,176000.0,ב.מ.וו,סדרה 1,394,"תל אביב-יפו, נפת תל אביב, מחוז תל אביב, ישראל","(32.0852997, 34.7818064, 0.0)",32.0852997,34.7818064,0.0
83,1070,תל אביב יפו,פרטית,14.0,2,לא,לא,1,בנזין,1595.0,0,שחור,46,89950.0,2015.0,אוטומט,1,146000.0,מרצדס,C-Class,366,"תל אביב-יפו, נפת תל אביב, מחוז תל אביב, ישראל","(32.0852997, 34.7818064, 0.0)",32.0852997,34.7818064,0.0
84,3101,תל אביב יפו,פרטית,15.0,2,כן,לא,1,בנזין,3564.0,0,שחור,46,160000.0,2014.0,אוטומט,1,110000.0,שברולט,טראוורס,321,"תל אביב-יפו, נפת תל אביב, מחוז תל אביב, ישראל","(32.0852997, 34.7818064, 0.0)",32.0852997,34.7818064,0.0
85,1020,תל אביב יפו,פרטית,13.0,2,לא,לא,1,בנזין,1798.0,0,שחור,46,55000.0,2016.0,אוטומט,1,110000.0,פולקסווגן,פולו GTI,351,"תל אביב-יפו, נפת תל אביב, מחוז תל אביב, ישראל","(32.0852997, 34.7818064, 0.0)",32.0852997,34.7818064,0.0
